block_number,netuid,parameter,old_value,new_value
5875004,27,discord,https://discord.com/invite/neural-internet,https://discord.com/invite/neuralinternet
5874704,39,subnet_name,𒆜ᴡ.ᴀɪ⎫𒀭ꙮ𒀭⎧ʙᴀꜱɪʟɪᴄᴀ𒆜,ᴡ.ᴀɪ ⧉░⧉ ⟨𓁹ꙮ𓁹⟩ ᴏᴘᴇɴ ▓𓂀▓ ᴛʜᴇ ⟪∞ꙮ∞⟫ ɢᴀᴛᴇ ░𓊖░ ᴛᴏ ⟦𓏏⨊𓏏⟧ ɪɴғɪɴɪᴛᴇ ▐𓁿▌ ᴍɪɴᴅ ⧉▓⧉
5868104,39,subnet_name,ᴡ.ᴀɪ ⧉░⧉ ⟨𓁹ꙮ𓁹⟩ ᴏᴘᴇɴ ▓𓂀▓ ᴛʜᴇ ⟪∞ꙮ∞⟫ ɢᴀᴛᴇ ░𓊖░ ᴛᴏ ⟦𓏏⨊𓏏⟧ ɪɴғɪɴɪᴛᴇ ▐𓁿▌ ᴍɪɴᴅ ⧉▓⧉,w.ai (also shoutout Kat truly goated community manager)
5867404,39,subnet_name,w.ai (also shoutout Kat truly goated community manager),w.ai (shoutout Keith & Ala u guys are real ones)
5866804,39,subnet_name,w.ai (shoutout Keith & Ala u guys are real ones),w.ai (THE NEXT CHAPTER)
5860104,39,subnet_name,w.ai (THE NEXT CHAPTER),w.ai (Parked)
5858704,124,description,autonomous drone flight,autonomous qudrone flight
5851904,88,subnet_name,Investing,Sταking
5851904,88,github_repo,https://github.com/mobiusfund/investing,https://github.com/mobiusfund/staking
5851904,88,subnet_url,https://Investing88.ai,https://stakingalpha.com
5851904,88,description,DeFAI powered AUM,Optimizing staking strategies
5850804,124,subnet_name,Swarm,brahmi_aa
5850804,124,github_repo,https://github.com/swarm-subnet/swarm,
5850804,124,subnet_contact,miguel@btlabs.ai,
5850804,124,subnet_url,,
5850804,124,discord,,
5850804,124,description,autonomous qudrone flight,
5845204,63,owner_coldkey,5CqTmNfgDchxULD1bfoz8jvj9rDYSoq76kiq98oBUUEDpWqX,5GmpedVP2r9haksUBD743wek8t89jMz96RTkV2zkVdRR4e1B
5840104,73,owner_coldkey,5EWdfGjSKJ9jP6GH427s6Nj4jjhUTxaenExHH433eFi8wJ3J,5EcoXMiYuoPEkFa2daL77dTnbyedEkWiNYJjiywKozBjodf3
5828604,65,owner_coldkey,5GxEEHxLWpvcAGghL8LG7xNjrxZk4SEPW1VT43hGPZ2TP9mZ,5CDXThRKgdmheYEPY3rh5gtKbsu9kVDiGCzZs34sqBghfoZg
5824204,113,owner_hotkey,5ENZDaXKPsDoYDzvsayT1LVMY9RwV8JtBKXmpLsBEC9uU2m6,5DJ83LqfhSYeqhcEMLcMYZB2jJygCNRdtv1ZRLSBFmWwsbCF
5809804,106,description,Multi-chain liquidity protocol enabling interoperability for Bittensor by leveraging Chainlink CCIP,Multi-chain Liquidity Protocol enabling Interopability for Bittensor by leveraging Chainlink CCIP
5809204,63,subnet_name,Quantum,Alpha Trader Exchange (ATX)
5809204,63,github_repo,https://github.com/qbittensor-labs/qbittensor,https://github.com/Nickel5-Inc/alpha-trader-exchange/blob/main/README.md
5809204,63,subnet_url,www.qbittensorlabs.com,www.alphatraderexchange.com
5809204,63,discord,qbittensorlabs,@alphatraderexchange
5809204,63,description,quantum on bittensor launching soon,Incentivized trading on Bittensor
5809004,106,description,Multi-chain Liquidity Protocol enabling Interopability for Bittensor by leveraging Chainlink CCIP,Cross-chain Bridge connecting Bittensor and Solana
5805504,90,github_repo,https://github.com/degenpredict/bittensor-subnet-90-brain,https://github.com/frkrueger/bittensor-brain-subnet
5805504,90,subnet_url,https://subnet90.com,
5805504,90,description,Decentralized Truth Verification for Prediction Markets,
5797004,47,owner_hotkey,5D5Yw1NzfxLDQDP8D9jthkTNnJRKBfKSRTwnVBvg6RQymonx,5CS2niAKFcmvE3i2Lb9ukR66Enkn26ygievde3dMepJ9ha9x
5792704,16,subnet_name,HashTensor,BitAds
5792704,16,github_repo,https://github.com/HashTensor/HashTensor_Subnet,https://github.com/eseckft/BitAds.ai
5792704,16,subnet_url,https://hashtensor.com,https://bitads.ai/
5792704,16,discord,7ksian,eseck
5792704,16,description,HashTensor’s mission is to create the most profitable crypto mining opportunities by incentivizing miners to contribute hashrate to our pools. Miners earn dual rewards and drive value back into the Alpha token through buybacks and burns.,Revolutionizing the online marketing landscape through the power of decentralization.
5787904,16,owner_coldkey,5HGvv62eWd6BUXM8HaJPMguzNragaJMfLTENYBCcDrgsSAFb,5DnhT8EDV3ufCVHHfi7GFD4Z93MKNwWPwVZqh5o7UPYuwn6d
5780704,47,owner_coldkey,5CLyhrqcMHvrpzHDHpmn71qy1AEdrRzfyW9n3Kne8dnQB3du,5ENecAuky2xq8n73RPEFyPMCedssm6qwQHVbgZtuoYv6cxZu
5760104,111,subnet_name,oneoneone,io
5760104,111,github_repo,https://github.com/oneoneone-io/subnet-111,
5760104,111,subnet_contact,support@oneoneone.io,
5760104,111,subnet_url,https://oneoneone.io,
5760104,111,discord,stux_one,
5760104,111,description,A decentralized protocol for open-source intelligence,
5757704,89,subnet_name,InfiniteVibe.ai,berkanan
5757704,89,github_repo,https://github.com/Delta-Compute/infinitevibe,https://github.com/Delta-Compute/QuantSubnet
5757704,89,subnet_contact,hello@infinitevibe.ai,
5757704,89,subnet_url,InfiniteVibe.ai / TensorFlix.ai,
5757704,89,description,AI Video Lab,
5751404,54,owner_hotkey,5DUB7kNLvvx8Dj7D8tn54N1C7Xok6GodNPQE2WECCaL9Wgpr,5GENieJS4p6oKVPbDoXhAo46E38hxR7MxvbgMpJE4bf6xCb3
5751404,54,subnet_name,Yanez MIID,Unknown
5751404,54,github_repo,https://github.com/yanez-compliance/MIID-subnet,
5751404,54,subnet_contact,jose@yanezcompliance.com,
5751404,54,subnet_url,www.yanez.ai,
5751404,54,discord,https://discord.com/channels/799672011265015819/1351934165964296232,
5751404,54,description,generates synthetic identities that can be used to test and train anti-fraud models and identity recognition algorithms.,
5750504,54,subnet_name,Unknown,WebGenieAI
5750504,54,github_repo,,https://github.com/web-genie-ai/web-genie-ai
5750504,54,subnet_contact,,sangar@webgenieai.co
5750504,54,subnet_url,,https://webgenieai.co
5750504,54,discord,,sangar1028_72796
5750504,54,description,,Transform text prompts/sketches/images into websites using AI
5744504,50,subnet_url,https://synthdata.co,
5744504,50,description,Predictive intelligence for financial markets and beyond.,
5738404,112,owner_coldkey,5D7Rf7HbeE7ti49fyLg3TM3F96uWFUwzYBo9SkzBpAUTQMhM,5D78M1koYkWe3sknQ1NANbTu1vcRsWtmWAEcvCvQJhJoZmxN
5737104,27,subnet_name,Neural Internet,NeuralInternet
5736104,27,subnet_name,NeuralInternet,NI Compute
5736104,27,description,Decentralized Compute Network,Decentralized Cloud Platform
5736104,106,subnet_name,VoidAI,Liquidity Provisioning
5736104,106,description,Cross-chain Bridge connecting Bittensor and Solana,Incentivized Liquidity Provisioning on Solana
5709704,113,owner_hotkey,5DJ83LqfhSYeqhcEMLcMYZB2jJygCNRdtv1ZRLSBFmWwsbCF,5CqvqAL3GTFGu4tAv5tpLXYJuoP1tWhskYfGqnjghjwecvEA
5703904,116,discord,https://discord.com/channels/799672011265015819/1379496997752410172,wtmp
5700304,116,github_repo,https://github.com/solmev/a,https://github.com/solanamev/a
5697504,47,subnet_name,for sale,Condenses.ai
5693504,102,subnet_name,for sale,zen
5690404,80,description,AI research community within Bittensor,Specialized AI Development Subnet
5687104,35,owner_coldkey,5GmWJkzKAErRpS3AHyj7uJLzETG9Ed7VVCMr7rmha9YkMR6X,5EsmkLf4VnpgNM31syMjAWsUrQdW2Yu5xzWbv6oDQydP9vVx
5686904,27,description,Decentralized Cloud Platform,Transforming AI compute power into a digital commodity
5686204,106,description,Incentivized Liquidity Provisioning on Solana,Incentivized Liquidity Provisioning at Scale
5673204,65,owner_coldkey,5CDXThRKgdmheYEPY3rh5gtKbsu9kVDiGCzZs34sqBghfoZg,5C8UAnEkWyuDTMysj3Hg3n2q787R6xvvcqvV5x4bujEWGRgE
5671704,114,subnet_name,Єclipse Project,ie
5671704,114,github_repo,,
5671704,114,subnet_contact,,
5671704,114,subnet_url,,
5671704,114,discord,,
5671704,114,description,Codename: Єclipse Project,
5659004,1,subnet_name,Apex,apex
5659004,2,subnet_name,omron 🥩,omron
5659004,3,subnet_name,τemplar,templar
5659004,4,subnet_name,Targon,targon
5659004,5,subnet_name,OpenKaito,kaito
5659004,6,subnet_name,Infinite Games,infinite
5659004,7,subnet_name,SubVortex,subvortex
5659004,8,subnet_name,Proprietary Trading Network,ptn
5659004,9,subnet_name,iota,pretrain
5659004,10,subnet_name,Sturdy,sturdy
5659004,11,subnet_name,Dippy,dippy
5659004,12,subnet_name,Compute Horde,horde
5659004,13,subnet_name,Data Universe,dataverse
5659004,14,subnet_name,TAOHash,palaidn
5659004,15,subnet_name,Unknown,deval
5659004,16,subnet_name,BitAds,bitads
5659004,17,subnet_name,404—GEN,3gen
5659004,18,subnet_name,Zeus,cortex
5659004,19,subnet_name,Nineteen.ai,inference
5659004,20,subnet_name,BitAgent - Rizzo,bitagent
5659004,21,subnet_name,OMEGA Any-to-Any,any-any
5659004,22,subnet_name,Desearch,meta
5659004,23,subnet_name,Nuance,social
5659004,24,subnet_name,OMEGA Labs,omega
5659004,25,subnet_name,Mainframe,protein
5659004,26,subnet_name,Storb,alchemy
5659004,27,subnet_name,NI Compute,compute
5659004,29,subnet_name,Coldint,coldint
