netuid,parameter,old_value,new_value,exact_block
27,discord,https://discord.com/invite/neural-internet,https://discord.com/invite/neuralinternet,5874905
39,subnet_name,𒆜ᴡ.ᴀɪ⎫𒀭ꙮ𒀭⎧ʙᴀꜱɪʟɪᴄᴀ𒆜,ᴡ.ᴀɪ ⧉░⧉ ⟨𓁹ꙮ𓁹⟩ ᴏᴘᴇɴ ▓𓂀▓ ᴛʜᴇ ⟪∞ꙮ∞⟫ ɢᴀᴛᴇ ░𓊖░ ᴛᴏ ⟦𓏏⨊𓏏⟧ ɪɴғɪɴɪᴛᴇ ▐𓁿▌ ᴍɪɴᴅ ⧉▓⧉,5874605
39,subnet_name,ᴡ.ᴀɪ ⧉░⧉ ⟨𓁹ꙮ𓁹⟩ ᴏᴘᴇɴ ▓𓂀▓ ᴛʜᴇ ⟪∞ꙮ∞⟫ ɢᴀᴛᴇ ░𓊖░ ᴛᴏ ⟦𓏏⨊𓏏⟧ ɪɴғɪɴɪᴛᴇ ▐𓁿▌ ᴍɪɴᴅ ⧉▓⧉,w.ai (also shoutout Kat truly goated community manager),5868005
39,subnet_name,w.ai (also shoutout Kat truly goated community manager),w.ai (shoutout Keith & Ala u guys are real ones),5867305
39,subnet_name,w.ai (shoutout Keith & Ala u guys are real ones),w.ai (THE NEXT CHAPTER),5866705
39,subnet_name,w.ai (THE NEXT CHAPTER),w.ai (Parked),5860005
124,description,autonomous drone flight,autonomous qudrone flight,5858605
88,subnet_name,Investing,Sταking,5851805
88,github_repo,https://github.com/mobiusfund/investing,https://github.com/mobiusfund/staking,5851805
88,subnet_url,https://Investing88.ai,https://stakingalpha.com,5851805
88,description,DeFAI powered AUM,Optimizing staking strategies,5851805
124,subnet_name,Swarm,brahmi_aa,5850705
124,github_repo,https://github.com/swarm-subnet/swarm,,5850804
124,subnet_contact,miguel@btlabs.ai,,5850804
124,subnet_url,,,5850804
124,discord,,,5850804
124,description,autonomous qudrone flight,,5850804
63,owner_coldkey,5CqTmNfgDchxULD1bfoz8jvj9rDYSoq76kiq98oBUUEDpWqX,5GmpedVP2r9haksUBD743wek8t89jMz96RTkV2zkVdRR4e1B,5845105
